distinction_id,property_flg,price,yield,income,built_date,building_structure,rank,struture_flg,total_units,access,address,land_area,land_rights,footprint_square,plan,management_fee,management_flg,building_area,ratio,use_districts,current_state,delivery_time
5984612xv,MAN,"7,550万円",8.00%,604 万円 / 50.3万円,1990年12月,鉄骨造3階建 総戸数 6戸,3階建,S造,6戸,京成本線 青砥駅  徒歩7分 ,東京都葛飾区青戸6丁目,188.95m2 【57.15坪】, 所有権 ,,3LDK×1戸  2DK×5戸 ,,,298.96m2【90.43坪】,60 ％ / 200 ％ ,準工業,賃貸中,相談
599775sb9,MAN,"7,550万円",8.00%,604 万円 / 50.3万円,1990年12月,鉄骨造3階建 総戸数 6戸,3階建,S造,6戸,京成本線 青砥駅  徒歩7分 ,東京都葛飾区青戸6丁目,188.95m2 【57.15坪】, 所有権 ,,2DK×5戸 3LDK×1戸 ,,,298.96m2【90.43坪】,60 ％ / 200 ％ ,準工業,賃貸中,相談
6002685xr,MAN,"7,550万円",8.00%,604 万円 / 50.3万円,1990年12月,鉄骨造3階建 総戸数 6戸,3階建,S造,6戸,京成本線 青砥駅  徒歩7分 ,東京都葛飾区青戸6,188.95m2 【57.15坪】, 所有権 ,,2DK×5戸  3LDK×1戸 駐車場 1台,,,298.96m2【90.43坪】,60 ％ / 200 ％ ,準工業,賃貸中（満室）,相談
604374ej2,MAN,"7,550万円",8.00%,604 万円 / 50.3万円,1990年12月,鉄骨造3階建 総戸数 6戸,3階建,S造,6戸,京成本線 青砥駅  徒歩7分 ,東京都葛飾区青戸6丁目,188.95m2 【57.15坪】, 所有権 ,,2DK×5戸 3ＬＤＫ×1戸 ,,,298.96m2【90.43坪】,60 ％ / 200 ％ ,準工業,賃貸中,相談
587273pvf,APT,"7,780万円",7.15%,556.8 万円 / 46.4万円,2014年1月,木造2階建 総戸数 8戸,2階建,木造,8戸,JR常磐線 金町駅  徒歩10分 京成金町線 金町駅  徒歩9分 ,東京都葛飾区金町3-42-3,81.66m2 【24.70坪】, 所有権 ,,1R×8戸 ,,,98.34m2【29.74坪】,60 ％ / 200 ％ ,第二種低住専,賃貸中,相談
5935491ck,APT,"7,780万円",6.46%,502.8 万円 / 41.9万円,2011年7月,木造2階建 総戸数 8戸,2階建,木造,8戸,京成本線 堀切菖蒲園駅  徒歩10分 ,東京都葛飾区堀切1丁目,91.75m2 【27.75坪】, 所有権 ,,1R×8戸 ,,,91.46m2【27.66坪】,60 ％ / 200 ％ ,準工業,賃貸中,相談
5961445ly,MAN,"7,980万円",7.70%,619.2 万円 / 51.6万円,1987年3月,鉄筋コンクリート造3階建 総戸数 6戸,3階建,RC造,6戸,京成押上線 四ツ木駅  徒歩9分 ,東京都葛飾区四つ木3丁目,139.63m2 【42.23坪】, 所有権 ,,2DK×6戸 ,,,263.31m2【79.65坪】,60 ％ / 200 ％ ,準工業,賃貸中,相談
603163olx,MAN,"7,980万円",7.58%,604.8 万円 / 50.4万円,1990年12月,鉄骨造3階建 総戸数 6戸,3階建,S造,6戸,京成本線 青砥駅  徒歩7分 京成本線 京成高砂駅  徒歩8分 ,東京都葛飾区青戸6丁目,188.95m2 【57.15坪】, 所有権 ,,2DK×6戸 ,,,298.96m2【90.43坪】,60 ％ / 200 ％ ,準工業,賃貸中,相談
606018j7p,MAN,"7,980万円",9.02%,720 万円 / 60.0万円,1992年7月,鉄骨造3階建 総戸数 6戸,3階建,S造,6戸,京成本線 高砂駅  徒歩13分 ,東京都葛飾区細田三丁目,243.53m2 【73.66坪】, 所有権 ,,2DK×5戸  1DK×1戸 駐車場 5台,,,342.26m2【103.53坪】,60 ％ / 200 ％ ,第一種住居,賃貸中,相談
606495ls5,APT,"8,000万円",10.36%,829 万円 / 69.1万円,1993年1月,木造2階建 総戸数 12戸,2階建,木造,12戸,JR総武線 新小岩駅  徒歩16分 ,東京都葛飾区西新小岩5-25-27,114.5m2 【34.63坪】, 所有権 ,,1R×12戸 ,,,158.73m2【48.01坪】,60 ％ / 200 ％ ,準工業,賃貸中,即時
